description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,brand,CLASIFICACION
Bebida Rehidratante Sporade Pack Surtido 6un x 500ml,S/ 9.90,wong,BEBIDA HIDRATANTE,2024-12-04 20:53:27.835546,6.0,un,9.9,wong,,BEBIDA HIDRATANTE
Bebida Energizante Regular Pack 6 Unidades 300 mL,S/ 9.90,tottus,BEBIDA HIDRATANTE,2024-12-04 14:01:16.732811,6.0,un,9.9,tottus,VOLT,BEBIDA HIDRATANTE
Two Pack Gaseosa Ginger Ale 1.5 L,S/ 9.90,tottus,BEBIDA HIDRATANTE,2024-12-04 14:01:16.732811,1.5,l,9.9,tottus,SCHWEPPES,BEBIDA HIDRATANTE
Bebida Rehidratante SPORADE Sabores Surtidos Botella 500ml Paquete 6un,S/ 9.90,vivanda,BEBIDA HIDRATANTE,2024-12-04 18:20:22.255946,500.0,ml,9.9,vivanda,SPORADE,BEBIDA HIDRATANTE
Tropical Pack 6 Unidades 500 mL,S/ 10.90,tottus,BEBIDA HIDRATANTE,2024-12-04 14:01:16.732811,6.0,un,10.9,tottus,GATORADE,BEBIDA HIDRATANTE
Bebida Rehidratante Gatorade Monosabor Pack 6 Unid x 500ml,S/ 10.90,wong,BEBIDA HIDRATANTE,2024-12-04 20:53:27.835546,6.0,un,10.9,wong,,BEBIDA HIDRATANTE
Bebida Rehidratante Gatorade Pack 6 Unid x 500ml,S/ 10.90,wong,BEBIDA HIDRATANTE,2024-12-04 20:53:27.835546,6.0,un,10.9,wong,,BEBIDA HIDRATANTE
Sixpack Rehidratante Powerade Mora Botella 600ml,S/ 11.40,wong,BEBIDA HIDRATANTE,2024-12-04 20:53:27.835546,600.0,ml,11.4,wong,,BEBIDA HIDRATANTE
Sixpack Rehidratante Powerade Multifrutas Botella 600ml,S/ 11.40,wong,BEBIDA HIDRATANTE,2024-12-04 20:53:27.835546,600.0,ml,11.4,wong,,BEBIDA HIDRATANTE
Sixpack Bebida Rehidratante Powerade Multisabores Botella 600ml,S/ 11.40,wong,BEBIDA HIDRATANTE,2024-12-04 20:53:27.835546,600.0,ml,11.4,wong,,BEBIDA HIDRATANTE
Sixpack Bebida Rehidratante Powerade Uva Botella 600ml,S/ 11.40,wong,BEBIDA HIDRATANTE,2024-12-04 20:53:27.835546,600.0,ml,11.4,wong,,BEBIDA HIDRATANTE
Sixpack Rehidratante Powerade Multifrutas Botella 600ml,S/ 11.40,metro,BEBIDA HIDRATANTE,2024-12-04 22:25:56.514517,600.0,ml,11.4,metro,,BEBIDA HIDRATANTE
Sixpack Rehidratante Powerade Mora Botella 600ml,S/ 11.40,metro,BEBIDA HIDRATANTE,2024-12-04 22:25:56.514517,600.0,ml,11.4,metro,,BEBIDA HIDRATANTE
6PACK REHIDRATANTE MULTIFRUTAS 600ML,S/ 11.40,tottus,BEBIDA HIDRATANTE,2024-12-04 14:01:16.732811,600.0,ml,11.4,tottus,POWERADE,BEBIDA HIDRATANTE
