description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Chocolate a la Taza La Ibérica 100g,S/ 10.50,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,100.0,g,Chocolate a la Taza La Ibérica,10.5,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate INNATO Bitter Paquete 100g,S/ 10.50,vivanda,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 22:22:01.643325,100.0,g,Chocolate INNATO Bitter Paquete,10.5,vivanda,INNATO,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate a la Taza La Ibérica 100g,S/ 10.50,wong,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 19:06:51.036864,100.0,g,Chocolate a la Taza La Ibérica,10.5,wong,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate de Leche HERSHEY'S Kisses Caja 74g,S/ 10.60,vivanda,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 22:22:01.643325,74.0,g,Chocolate de Leche HERSHEY'S Kisses Caja,10.6,vivanda,HERSHEY S,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate Vizzio Grageas Mix 122g,S/ 10.90,wong,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 19:06:51.036864,122.0,g,Chocolate Vizzio Grageas Mix,10.9,wong,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate a la Taza Sin Azúcar La Ibérica 100g,S/ 10.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,100.0,g,Chocolate a la Taza Sin Azúcar La Ibérica,10.9,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate Vizzio Grageas Mix 122g,S/ 10.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,122.0,g,Chocolate Vizzio Grageas Mix,10.9,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate Bitter Cuisine & Co Bagua 80g,S/ 10.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,80.0,g,Chocolate Bitter Cuisine & Co Bagua,10.9,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate Instantáneo Choco Listo Sin Azúcar 180g,S/ 11.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,180.0,g,Chocolate Instantáneo Choco Listo Sin Azúcar,11.9,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate COLOMBINA Navidad Doypack 110g,S/ 12.00,vivanda,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 22:22:01.643325,110.0,g,Chocolate COLOMBINA Navidad Doypack,12.0,vivanda,COLOMBINA,DIVERSAS PRESENTACIONES DE CHOCOLATES
